scope,predictor,response,n,independent_studies,distinct_predictor_values,pearson_r,spearman_rank_rho,ols_slope_residual_per_predictor_unit,interpretation
primary_all_after_yang_resolution,inert_fraction,co2_conversion,88,6,5,0.06355226643144087,0.0538401380410461,2.3388931276263807,descriptive_association_not_causal_evidence
primary_all_after_yang_resolution,inert_fraction,meoh_selectivity,88,6,5,0.09116405303567766,-0.09687344380322876,20.689169374830048,descriptive_association_not_causal_evidence
primary_all_after_yang_resolution,inert_fraction,meoh_yield,88,6,5,0.07307912839430418,-0.1291173192472901,2.2717216175620667,descriptive_association_not_causal_evidence
complete_study:BECKER-2026,temperature,co2_conversion,2,1,1,,,,descriptive_association_not_causal_evidence
complete_study:BECKER-2026,temperature,meoh_selectivity,2,1,1,,,,descriptive_association_not_causal_evidence
complete_study:BECKER-2026,temperature,meoh_yield,2,1,1,,,,descriptive_association_not_causal_evidence
complete_study:BECKER-2026,pressure,co2_conversion,2,1,1,,,,descriptive_association_not_causal_evidence
complete_study:BECKER-2026,pressure,meoh_selectivity,2,1,1,,,,descriptive_association_not_causal_evidence
complete_study:BECKER-2026,pressure,meoh_yield,2,1,1,,,,descriptive_association_not_causal_evidence
complete_study:BECKER-2026,h2_co2_ratio,co2_conversion,2,1,1,,,,descriptive_association_not_causal_evidence
complete_study:BECKER-2026,h2_co2_ratio,meoh_selectivity,2,1,1,,,,descriptive_association_not_causal_evidence
complete_study:BECKER-2026,h2_co2_ratio,meoh_yield,2,1,1,,,,descriptive_association_not_causal_evidence
complete_study:BECKER-2026,whsv,co2_conversion,2,1,2,,,,descriptive_association_not_causal_evidence
complete_study:BECKER-2026,whsv,meoh_selectivity,2,1,2,,,,descriptive_association_not_causal_evidence
complete_study:BECKER-2026,whsv,meoh_yield,2,1,2,,,,descriptive_association_not_causal_evidence
complete_study:BECKER-2026,inert_fraction,co2_conversion,2,1,1,,,,descriptive_association_not_causal_evidence
complete_study:BECKER-2026,inert_fraction,meoh_selectivity,2,1,1,,,,descriptive_association_not_causal_evidence
complete_study:BECKER-2026,inert_fraction,meoh_yield,2,1,1,,,,descriptive_association_not_causal_evidence
complete_study:DANG-2020,temperature,co2_conversion,26,1,7,-0.22199125216540366,0.0744983593779457,-0.021866594760077497,descriptive_association_not_causal_evidence
complete_study:DANG-2020,temperature,meoh_selectivity,26,1,7,0.1649347100505381,0.17730609531951078,0.06564236049894075,descriptive_association_not_causal_evidence
complete_study:DANG-2020,temperature,meoh_yield,26,1,7,-0.01310850346941765,0.11025757187935964,-0.0008083663640742981,descriptive_association_not_causal_evidence
complete_study:DANG-2020,pressure,co2_conversion,26,1,1,,,,descriptive_association_not_causal_evidence
complete_study:DANG-2020,pressure,meoh_selectivity,26,1,1,,,,descriptive_association_not_causal_evidence
complete_study:DANG-2020,pressure,meoh_yield,26,1,1,,,,descriptive_association_not_causal_evidence
complete_study:DANG-2020,h2_co2_ratio,co2_conversion,26,1,6,-0.18245454672384692,-0.16814835291475794,-0.6781330537855487,descriptive_association_not_causal_evidence
complete_study:DANG-2020,h2_co2_ratio,meoh_selectivity,26,1,6,-0.207492993043447,-0.25879082440786966,-3.1159500802197386,descriptive_association_not_causal_evidence
complete_study:DANG-2020,h2_co2_ratio,meoh_yield,26,1,6,-0.5404838976496088,-0.39453558847967946,-1.2576297670370875,descriptive_association_not_causal_evidence
complete_study:DANG-2020,whsv,co2_conversion,26,1,6,-0.03181879361083403,-0.11948478658986685,-2.8338059829239865e-05,descriptive_association_not_causal_evidence
complete_study:DANG-2020,whsv,meoh_selectivity,26,1,6,-0.3681419410704673,-0.5409233749494747,-0.0013247335460549751,descriptive_association_not_causal_evidence
complete_study:DANG-2020,whsv,meoh_yield,26,1,6,-0.16280069243927683,-0.22646535132730575,-9.077211952988219e-05,descriptive_association_not_causal_evidence
complete_study:DANG-2020,inert_fraction,co2_conversion,26,1,2,-0.32607148566339533,-0.26745913993429266,-63.03661811783029,descriptive_association_not_causal_evidence
complete_study:DANG-2020,inert_fraction,meoh_selectivity,26,1,2,0.11582994242022666,0.041147559989891176,90.47482600693709,descriptive_association_not_causal_evidence
complete_study:DANG-2020,inert_fraction,meoh_yield,26,1,2,-0.1431658573908137,-0.20573779994945587,-17.327239050702296,descriptive_association_not_causal_evidence
complete_study:SUN-2015,temperature,co2_conversion,24,1,6,-0.557330092697357,-0.4652388687211593,-0.014324012681002106,descriptive_association_not_causal_evidence
complete_study:SUN-2015,temperature,meoh_selectivity,24,1,6,0.29872200648487646,0.08811342210628018,0.09036175630551095,descriptive_association_not_causal_evidence
complete_study:SUN-2015,temperature,meoh_yield,24,1,6,0.6089382093743759,0.6097448809754589,0.006185007439697314,descriptive_association_not_causal_evidence
complete_study:SUN-2015,pressure,co2_conversion,24,1,4,0.5078701993283791,0.6514421014903803,0.039877077480081694,descriptive_association_not_causal_evidence
complete_study:SUN-2015,pressure,meoh_selectivity,24,1,4,-0.10454467957381068,-0.12382783747337807,-0.09661348985197446,descriptive_association_not_causal_evidence
complete_study:SUN-2015,pressure,meoh_yield,24,1,4,0.6782035862509054,0.6998964726756152,0.021044832370647124,descriptive_association_not_causal_evidence
complete_study:SUN-2015,h2_co2_ratio,co2_conversion,24,1,1,,,,descriptive_association_not_causal_evidence
complete_study:SUN-2015,h2_co2_ratio,meoh_selectivity,24,1,1,,,,descriptive_association_not_causal_evidence
complete_study:SUN-2015,h2_co2_ratio,meoh_yield,24,1,1,,,,descriptive_association_not_causal_evidence
complete_study:SUN-2015,whsv,co2_conversion,24,1,1,,,,descriptive_association_not_causal_evidence
complete_study:SUN-2015,whsv,meoh_selectivity,24,1,1,,,,descriptive_association_not_causal_evidence
complete_study:SUN-2015,whsv,meoh_yield,24,1,1,,,,descriptive_association_not_causal_evidence
complete_study:SUN-2015,inert_fraction,co2_conversion,24,1,1,,,,descriptive_association_not_causal_evidence
complete_study:SUN-2015,inert_fraction,meoh_selectivity,24,1,1,,,,descriptive_association_not_causal_evidence
complete_study:SUN-2015,inert_fraction,meoh_yield,24,1,1,,,,descriptive_association_not_causal_evidence
complete_study:SUN-2020,temperature,co2_conversion,1,1,1,,,,descriptive_association_not_causal_evidence
complete_study:SUN-2020,temperature,meoh_selectivity,1,1,1,,,,descriptive_association_not_causal_evidence
complete_study:SUN-2020,temperature,meoh_yield,1,1,1,,,,descriptive_association_not_causal_evidence
complete_study:SUN-2020,pressure,co2_conversion,1,1,1,,,,descriptive_association_not_causal_evidence
complete_study:SUN-2020,pressure,meoh_selectivity,1,1,1,,,,descriptive_association_not_causal_evidence
complete_study:SUN-2020,pressure,meoh_yield,1,1,1,,,,descriptive_association_not_causal_evidence
complete_study:SUN-2020,h2_co2_ratio,co2_conversion,1,1,1,,,,descriptive_association_not_causal_evidence
complete_study:SUN-2020,h2_co2_ratio,meoh_selectivity,1,1,1,,,,descriptive_association_not_causal_evidence
complete_study:SUN-2020,h2_co2_ratio,meoh_yield,1,1,1,,,,descriptive_association_not_causal_evidence
complete_study:SUN-2020,whsv,co2_conversion,1,1,1,,,,descriptive_association_not_causal_evidence
complete_study:SUN-2020,whsv,meoh_selectivity,1,1,1,,,,descriptive_association_not_causal_evidence
complete_study:SUN-2020,whsv,meoh_yield,1,1,1,,,,descriptive_association_not_causal_evidence
complete_study:SUN-2020,inert_fraction,co2_conversion,1,1,1,,,,descriptive_association_not_causal_evidence
complete_study:SUN-2020,inert_fraction,meoh_selectivity,1,1,1,,,,descriptive_association_not_causal_evidence
complete_study:SUN-2020,inert_fraction,meoh_yield,1,1,1,,,,descriptive_association_not_causal_evidence
complete_study:WEI-2025,temperature,co2_conversion,9,1,5,0.2501056444370587,-0.03651483716701107,0.0016519011100908382,descriptive_association_not_causal_evidence
complete_study:WEI-2025,temperature,meoh_selectivity,9,1,5,0.9435805685178397,0.8580986734247602,0.25535061458695374,descriptive_association_not_causal_evidence
complete_study:WEI-2025,temperature,meoh_yield,9,1,5,0.8992526493729528,0.8580986734247602,0.017242737017265673,descriptive_association_not_causal_evidence
complete_study:WEI-2025,pressure,co2_conversion,9,1,5,-0.32316091008483644,-0.09128709291752768,-0.004268835014168982,descriptive_association_not_causal_evidence
complete_study:WEI-2025,pressure,meoh_selectivity,9,1,5,-0.38402826345280944,-0.5294651389216606,-0.207850514016984,descriptive_association_not_causal_evidence
complete_study:WEI-2025,pressure,meoh_yield,9,1,5,-0.32370270942665424,-0.5294651389216606,-0.012413687508871172,descriptive_association_not_causal_evidence
complete_study:WEI-2025,h2_co2_ratio,co2_conversion,9,1,1,,,,descriptive_association_not_causal_evidence
complete_study:WEI-2025,h2_co2_ratio,meoh_selectivity,9,1,1,,,,descriptive_association_not_causal_evidence
complete_study:WEI-2025,h2_co2_ratio,meoh_yield,9,1,1,,,,descriptive_association_not_causal_evidence
complete_study:WEI-2025,whsv,co2_conversion,9,1,1,,,,descriptive_association_not_causal_evidence
complete_study:WEI-2025,whsv,meoh_selectivity,9,1,1,,,,descriptive_association_not_causal_evidence
complete_study:WEI-2025,whsv,meoh_yield,9,1,1,,,,descriptive_association_not_causal_evidence
complete_study:WEI-2025,inert_fraction,co2_conversion,9,1,1,,,,descriptive_association_not_causal_evidence
complete_study:WEI-2025,inert_fraction,meoh_selectivity,9,1,1,,,,descriptive_association_not_causal_evidence
complete_study:WEI-2025,inert_fraction,meoh_yield,9,1,1,,,,descriptive_association_not_causal_evidence
complete_study:YANG-2020,temperature,co2_conversion,26,1,6,0.2022446017984377,0.19302530866957462,0.024991961137207853,descriptive_association_not_causal_evidence
complete_study:YANG-2020,temperature,meoh_selectivity,26,1,6,0.8142606368981841,0.5869910990917842,0.4013629430138392,descriptive_association_not_causal_evidence
complete_study:YANG-2020,temperature,meoh_yield,26,1,6,0.8198988590184019,0.7244310167477558,0.04486713306013518,descriptive_association_not_causal_evidence
complete_study:YANG-2020,pressure,co2_conversion,26,1,4,-0.17457261856307452,-0.20208136810482077,-0.08999981077522445,descriptive_association_not_causal_evidence
complete_study:YANG-2020,pressure,meoh_selectivity,26,1,4,-0.05567790398096468,0.0,-0.1144982321662588,descriptive_association_not_causal_evidence
complete_study:YANG-2020,pressure,meoh_yield,26,1,4,0.10675502855755702,0.20115438935204638,0.0243724085967464,descriptive_association_not_causal_evidence
complete_study:YANG-2020,h2_co2_ratio,co2_conversion,26,1,1,,,,descriptive_association_not_causal_evidence
complete_study:YANG-2020,h2_co2_ratio,meoh_selectivity,26,1,1,,,,descriptive_association_not_causal_evidence
complete_study:YANG-2020,h2_co2_ratio,meoh_yield,26,1,1,,,,descriptive_association_not_causal_evidence
complete_study:YANG-2020,whsv,co2_conversion,26,1,4,-0.29442172180320475,-0.24935728449631556,-0.00018973407362299417,descriptive_association_not_causal_evidence
complete_study:YANG-2020,whsv,meoh_selectivity,26,1,4,0.21811920462337459,0.26423413207965635,0.0005606861417463095,descriptive_association_not_causal_evidence
complete_study:YANG-2020,whsv,meoh_yield,26,1,4,-0.2622783772568515,-0.334639329751561,-7.484841537404889e-05,descriptive_association_not_causal_evidence
complete_study:YANG-2020,inert_fraction,co2_conversion,26,1,1,,,,descriptive_association_not_causal_evidence
complete_study:YANG-2020,inert_fraction,meoh_selectivity,26,1,1,,,,descriptive_association_not_causal_evidence
complete_study:YANG-2020,inert_fraction,meoh_yield,26,1,1,,,,descriptive_association_not_causal_evidence
