"New Source ID"	"Authors & Year"	"Full Title"	"Journal or Source"	"DOI"	"Stable Link"	"Accessibility"	"Directness Class"	"Methanol Route"	"Catalyst Family"	"Impurity Category"	"Impurity Species"	"Experiment Type"	"Methanol Metric Likely Available?"	"Clean Baseline Likely Available?"	"Impurity Concentration Likely Available?"	"Time-on-Stream Likely Available?"	"Recovery Likely Available?"	"Likely Modeling Role"	"Gap Filled"	"Reason for Inclusion"	"Duplicate Check Notes"	"Full Text Obtained?"	"Priority Rank"
"T1-026"	"Stuart Blain (2010)"	"The effects of higher oxygenates on methanol synthesis"	"PhD thesis, University of Glasgow"	"Not applicable"	"https://theses.gla.ac.uk/id/eprint/1601"	"Thesis or report available"	"T1-B"	"Syngas to methanol"	"Rh/SiO2; Ir/SiO2; Pd/SiO2; Pd/Ca/SiO2; industrial Cu/ZnO/Al2O3"	"Organic contaminants / oxygenates"	"Carboxylic acids and higher oxygenates"	"Continuous co-feed and catalyst comparison"	"Yes"	"Likely"	"Yes"	"Likely"	"Unclear"	"Organic-contaminant penalty and catalyst-family comparison"	"Higher oxygenates; non-Cu catalysts"	"Original thesis experiments address an underrepresented contaminant class across several catalyst families."	"Check any later journal articles chapter-by-chapter; count the thesis only unless a later paper contains clearly new experiments."	"Yes"	"10"
"T1-027"	"F. Bihl, V. Gautier, S. Thomas & A.-C. Roger (2026)"	"Assessment of the impact of water and methanol removal on the kinetics of methanol synthesis over CZA catalysts for sorption-enhanced applications"	"Frontiers in Chemical Engineering, 8, 1802912"	"10.3389/fceng.2026.1802912"	"https://www.frontiersin.org/journals/chemical-engineering/articles/10.3389/fceng.2026.1802912/full"	"Fully open"	"T1-E"	"CO2 hydrogenation to methanol"	"Cu/ZnO/Al2O3"	"Water / moisture; Methanol product"	"H2O; CH3OH"	"Product-removal/depletion experiment; kinetic comparison"	"Yes"	"Yes"	"Removal condition available"	"Yes"	"No"	"Water/methanol inhibition modifier and kinetic interpretation"	"Water and product inhibition"	"Original research explicitly compares water/methanol depletion conditions for methanol kinetics."	"Different group and design from T1-033/T1-034; no apparent shared dataset."	"Yes"	"24"
"T1-028"	"Devinder Mahajan, Richard S. Sapienza, William A. Slegeir & Thomas E. O’Hare (1990)"	"Homogeneous catalyst formulations for methanol production"	"US Patent US4935395A"	"US4935395A"	"https://patents.google.com/patent/US4935395A/en"	"Fully open"	"T1-C"	"Homogeneous liquid-phase syngas to methanol"	"Transition-metal carbonyl / alkoxide homogeneous catalyst"	"Sulfur; Industrial mixture; Water / moisture"	"H2S; N2; CH4; CO2; H2O"	"Batch impurity-tolerance examples"	"Yes"	"Yes"	"Yes"	"No"	"No"	"Alternative-catalyst tolerance evidence"	"Sulfur tolerance; industrial diluents; catalyst breadth"	"Patent contains original quantitative examples under H2S and inert/realistic gas components."	"Count the patent family once; exclude continuation/divisional and foreign family publications as duplicates."	"Yes"	"25"
"T1-029"	"Atsushi Muramatsu, Hirotaka Sato, Tomohiro Akiyama & Jun-ichiro Yagi (1993)"	"Methanol Synthesis from Blast Furnace Off Gas"	"ISIJ International, 33(11), 1144–1149"	"10.2355/isijinternational.33.1144"	"https://www.jstage.jst.go.jp/article/isijinternational1989/33/11/33_11_1144/_article"	"Fully open"	"T1-D"	"Blast-furnace off-gas to methanol"	"Cu-ZnO/Al2O3 formulations"	"Industrial impurity mixture"	"Blast-furnace off-gas components"	"Realistic industrial gas experiment; catalyst comparison"	"Yes"	"Yes"	"Feed composition likely"	"Likely"	"Unclear"	"Realistic-mixture validation"	"Industrial/off-gas mixtures"	"Direct experimental methanol synthesis from blast-furnace off-gas with catalyst-formulation comparison."	"Distinct historical industrial-gas experiment; no overlap with Carbon2Chem T1-003/T1-004."	"Yes"	"21"
"T1-030"	"G. W. Roberts, D. M. Brown, T. H. Hsiung & J. J. Lewnard (1990)"	"Catalyst poisoning during the synthesis of methanol in a slurry reactor"	"Chemical Engineering Science, 45(8), 2713–2720"	"10.1016/0009-2509(90)80162-8"	"https://www.sciencedirect.com/science/article/pii/0009250990801628"	"Paywalled"	"T1-C"	"Liquid-phase methanol synthesis"	"Commercial Cu/ZnO/Al2O3 slurry catalyst"	"Metal carbonyl; Sulfur"	"Fe(CO)5; Ni(CO)4; COS"	"Continuous contaminant exposure; pilot/lab deactivation"	"Yes"	"Yes"	"Yes"	"Yes"	"Unclear"	"Metal-carbonyl and sulfur deactivation model"	"Metal carbonyls; independent historical exposure data"	"Direct slurry-reactor poisoning study covering contaminants that remain sparse in the current dataset."	"Same LPMEOH corporate lineage as T1-006/T1-008/T1-015; full-text comparison is mandatory before treating rows as independent."	"No"	"9"
"T1-031"	"Ting C. Lin & Aditya Bhan (2024)"	"Rates and reversibility of CO2 hydrogenation on Cu-based catalysts"	"Journal of Catalysis, 429, 115214"	"10.1016/j.jcat.2023.115214"	"https://www.osti.gov/biblio/2479056"	"Repository copy available"	"T1-A"	"CO2 + H2 to methanol"	"Cu/ZnO/Al2O3"	"Water / moisture; Carbon oxides"	"H2O; CO"	"Steady-state kinetic co-feed study; reversibility analysis"	"Yes"	"Yes"	"Yes"	"Likely"	"No"	"Water/CO kinetic modifier and reversible-rate model"	"Water inhibition; kinetic mechanism"	"Original measurements identify H2O and CO effects on methanol selectivity/yield and forward/reverse rates."	"Same group as T1-032 but a different publication and broader reversibility dataset; compare raw run conditions for overlap."	"Yes"	"16"
"T1-032"	"Ting C. Lin, Michelle A. Nolen, Carrie A. Farberow, Stephanie Kwon & Aditya Bhan (2025)"	"Mechanistic and kinetic relevance of hydrogen and water in CO2 hydrogenation on Cu-based catalysts"	"Journal of Catalysis, 443, 115936"	"10.1016/j.jcat.2024.115936"	"https://experts.umn.edu/en/publications/mechanistic-and-kinetic-relevance-of-hydrogen-and-water-in-cosub2"	"Paywalled"	"T1-A"	"CO2 + H2 to methanol"	"Cu-based catalysts"	"Water / moisture"	"H2O"	"Water co-feed kinetic/mechanistic study"	"Yes"	"Yes"	"Yes"	"Likely"	"Unclear"	"Water inhibition and kinetic-mechanism model"	"Water/moisture; mechanistic relevance"	"Direct experimental work centered on hydrogen and water effects in CO2 hydrogenation."	"Same group as T1-031; likely distinct focus, but compare shared catalyst batches and conditions before pooling."	"No"	"17"
"T1-033"	"Pavel Maksimov, Arto Laari, Vesa Ruuskanen, Tuomas Koiranen & Jarmo Ahola (2021)"	"Methanol synthesis through sorption enhanced carbon dioxide hydrogenation"	"Chemical Engineering Journal, 418, 129290"	"10.1016/j.cej.2021.129290"	"https://www.sciencedirect.com/science/article/pii/S1385894721008792"	"Fully open"	"T1-E"	"CO2 hydrogenation to methanol"	"Commercial Cu/ZnO/Al2O3 plus 3 Å molecular sieve"	"Water / moisture"	"H2O removed in situ"	"Sorption-enhanced water removal; catalyst-only baseline; regeneration"	"Yes"	"Yes"	"Removal/saturation condition available"	"Yes"	"Yes"	"Water-inhibition modifier and transient enhancement model"	"Water removal; regeneration"	"Provides direct catalyst-only versus water-removal experiments over industrially relevant conditions."	"Distinct LUT group and 3 Å sorbent design; do not merge with the later modeling-only 2022 paper."	"Yes"	"22"
"T1-034"	"Eleni Heracleous, Vasiliki Koidi & Angelos A. Lappas (2023)"	"Experimental Investigation of Sorption-Enhanced CO2 Hydrogenation to Methanol"	"ACS Sustainable Chemistry & Engineering, 11(26), 9684–9695"	"10.1021/acssuschemeng.3c01424"	"https://pubs.acs.org/doi/10.1021/acssuschemeng.3c01424"	"Paywalled"	"T1-E"	"CO2 hydrogenation to methanol"	"Cu/ZnO/Al2O3 plus zeolite 13X"	"Water / moisture; Methanol product"	"H2O and CH3OH removed/adsorbed"	"Sorption-enhanced reaction; multiple reaction–regeneration cycles"	"Yes"	"Yes"	"Removal/saturation condition available"	"Yes"	"Yes"	"Water/methanol inhibition and regeneration modifier"	"Water removal; recovery/regeneration"	"Original experiments include catalyst-only comparisons and repeated sorption/regeneration cycles."	"Same CERTH institute as T1-003/T1-004 but a distinct sorption-enhanced dataset; compare catalyst source only, not results."	"No"	"23"
"T1-035"	"John W. Tierney & Irving Wender (1994)"	"A Novel Process for Methanol Synthesis: Final Report"	"U.S. Department of Energy report DOE/PC/89786-T18; DE94017111"	"DOE/PC/89786-T18"	"https://www.fischer-tropsch.org/DOE/DOE_abs/T/tierney_jw/tierney_94_01_25.htm"	"Thesis or report available"	"T1-C"	"Liquid-phase/slurry methanol synthesis"	"Alcohol-promoted / methyl-formate-mediated liquid-phase catalyst system"	"Water / moisture; Carbon oxides"	"H2O; CO2"	"Multi-year final report; contaminant/condition tolerance"	"Yes"	"Likely"	"Yes"	"Likely"	"Unclear"	"Alternative-process water/CO2 tolerance model"	"Water; liquid-phase process breadth"	"Final report consolidates original experiments under water and CO2 conditions in an underrepresented process."	"Exclude quarterly/progress reports from the same DOE project unless they contain explicitly nonduplicated experiments."	"Yes"	"20"
"T1-036"	"Evangelia Koliamitra et al. (2026)"	"Capture, Sampling and Analysis of Biogenic CO2 Streams for Methanol Synthesis"	"Membranes, 16(3), 106"	"10.3390/membranes16030106"	"https://www.mdpi.com/2077-0375/16/3/106"	"Fully open"	"T1-F"	"Scenario input for biogenic CO2-to-methanol"	"No methanol catalyst tested"	"Industrial impurity mixture; Halides; Sulfur; Hydrocarbons"	"H2S; chlorine species; O2; hydrocarbons; other measured trace species"	"Field sampling before/after amine capture and recovered CO2 analysis"	"No"	"No"	"Yes"	"Not applicable"	"Not applicable"	"Realistic CO2-stream scenario generator"	"Captured CO2; industrial mixtures; halides"	"Field measurements at three industrial biogenic-CO2 sites explicitly track impurities to a pre-synthesis stream."	"Same institute as T1-003/T1-004/T1-034 but this is new field-sampling data, not a methanol performance dataset."	"Yes"	"11"
"T1-037"	"Philipp Haug, Matthias Koj & Thomas Turek (2017)"	"Influence of process conditions on gas purity in alkaline water electrolysis"	"International Journal of Hydrogen Energy, 42(15), 9406–9418"	"10.1016/j.ijhydene.2016.12.111"	"https://doi.org/10.1016/j.ijhydene.2016.12.111"	"Repository copy available"	"T1-F"	"Scenario input for electrolytic-H2 methanol"	"No methanol catalyst tested"	"Electrolyzer-derived impurities"	"O2 in H2; H2 in O2; moisture/electrolyte-management effects"	"Experimental zero-gap alkaline electrolyzer gas-purity study"	"No"	"No"	"Yes"	"Yes"	"Not applicable"	"Realistic electrolyzer impurity scenario generator"	"Electrolyzer-derived impurities"	"Original lab-scale measurements link operating conditions and electrolyte management to product-gas purity."	"Haug's dissertation and a related modeling paper may reproduce the same cell data; count this experimental article only."	"Yes"	"13"
"T1-038"	"Patrick Trinke, Boris Bensmann & Richard Hanke-Rauschenbach (2017)"	"Experimental evidence of increasing oxygen crossover with increasing current density during PEM water electrolysis"	"Electrochemistry Communications, 82, 98–102"	"10.1016/j.elecom.2017.07.018"	"https://doi.org/10.1016/j.elecom.2017.07.018"	"Paywalled"	"T1-F"	"Scenario input for PEM-electrolytic H2 used in methanol"	"No methanol catalyst tested"	"Electrolyzer-derived impurities"	"O2 crossover into H2 product"	"Experimental PEM electrolyzer crossover/current-density series"	"No"	"No"	"Yes"	"Yes"	"Not applicable"	"O2-in-H2 scenario generator"	"Electrolyzer-derived oxygen"	"Direct experimental measurement of the impurity most relevant to feeding PEM hydrogen into methanol synthesis."	"Later thesis and crossover papers from the same group must be checked for reused runs; retain this 2017 article as its own verified dataset."	"No"	"14"
"T1-039"	"Sven Dörner, Alexander Mitsos & Dominik Bongartz (2026)"	"Gas crossover in PEM electrolyzers: Experimental validation and improved oxygen crossover model"	"Chemical Engineering Science, 324, 123310"	"10.1016/j.ces.2026.123310"	"https://doi.org/10.1016/j.ces.2026.123310"	"Paywalled"	"T1-F"	"Scenario input for PEM-electrolytic H2 used in methanol"	"No methanol catalyst tested"	"Electrolyzer-derived impurities"	"O2 in H2; H2 in O2"	"High-pressure stack crossover measurements"	"No"	"No"	"Yes"	"Yes"	"Not applicable"	"Industrial-scale PEM impurity scenario generator"	"Electrolyzer-derived oxygen; pressure effects"	"Measures both outlet-gas impurities in a six-cell, 300 cm2-per-cell stack under elevated pressure."	"A 2026 Dörner dissertation contains this article; count the journal article only."	"No"	"26"
"T1-040"	"Leander Treutlein et al. (2025)"	"Gas Crossover in Membrane Electrolyzers—The Impact of MEA Conditioning on Gas Permeability"	"Journal of The Electrochemical Society, 172(6), 064507"	"10.1149/1945-7111/ade00f"	"https://publications.rwth-aachen.de/record/1017728/"	"Fully open"	"T1-F"	"Scenario input for membrane-electrolytic H2 used in methanol"	"No methanol catalyst tested"	"Electrolyzer-derived impurities"	"H2 and O2 permeability/crossover"	"Membrane and MEA gas-permeability experiment"	"No"	"No"	"Yes"	"Yes"	"Not applicable"	"Membrane-condition impurity scenario modifier"	"Electrolyzer-derived impurity variability"	"Quantifies conditioning and hydration effects on H2/O2 permeability, useful for realistic uncertainty bounds."	"Possible methodological/data continuity with the 2026 paper 'A Versatile Setup…'; count only one if full-text audit reveals reused measurements."	"Yes"	"27"
"T1-041"	"Tomasz Spietz et al. (2020)"	"Experimental results of amine emission from the CO2 capture process using 2-amino-2-methyl-1-propanol (AMP) with piperazine (PZ)"	"International Journal of Greenhouse Gas Control, 102, 103155"	"10.1016/j.ijggc.2020.103155"	"https://doi.org/10.1016/j.ijggc.2020.103155"	"Paywalled"	"T1-F"	"Scenario input for captured-CO2 methanol"	"No methanol catalyst tested"	"Carbon-capture solvent carryover; Nitrogen"	"AMP; piperazine; NH3; degradation-related species"	"Pilot/process-development-unit emission and CO2-purity measurements"	"No"	"No"	"Yes"	"Yes"	"Not applicable"	"Captured-CO2 carryover scenario generator"	"Amine solvent carryover"	"Original capture-unit measurements address amine/NH3 carryover and produced-CO2 purity, a critical missing scenario class."	"No apparent overlap with methanol T1 sources; keep separate from absorber-stack-only aerosol papers."	"No"	"12"
"T1-042"	"Ebbe Hauge Jensen et al. (2025)"	"Demonstration-scale CO2 capture and liquefaction at the Amager Bakke waste-to-energy facility with monoethanolamine, Part one: Efficiency, CO2 purity, and emission control"	"Chemical Engineering Journal, 524, 167465"	"10.1016/j.cej.2025.167465"	"https://orbit.dtu.dk/en/publications/demonstration-scale-cosub2sub-capture-and-liquefaction-at-the-ama/"	"Fully open"	"T1-F"	"Scenario input for captured-CO2 methanol"	"No methanol catalyst tested"	"Carbon-capture solvent carryover; Industrial impurity mixture"	"MEA degradation products; NH3; O2; H2O; NO2"	"Five-month demonstration-scale capture/liquefaction and CO2-purity monitoring"	"No"	"No"	"Yes"	"Yes"	"Not applicable"	"Demonstration-scale captured-CO2 scenario generator"	"Captured CO2; amine degradation; realistic concentrations"	"Provides long-duration, real-plant purity data for conditioned CO2 rather than idealized specifications."	"Distinct plant and solvent campaign from T1-041; no apparent shared data."	"Yes"	"15"
"T1-043"	"Wenlong Wu et al. (2022)"	"CO2 Hydrogenation over Copper/ZnO Single-Atom Catalysts: Water-Promoted Transient Synthesis of Methanol"	"Angewandte Chemie International Edition, 61, e202213024"	"10.1002/anie.202213024"	"https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202213024"	"Paywalled"	"T1-A"	"CO2 + H2 to methanol"	"Cu single atoms on ZnO and Cu/ZnO catalysts"	"Water / moisture"	"H2O"	"Water co-feed concentration series; transient response"	"Yes"	"Yes"	"Yes"	"Likely"	"Unclear"	"Nonlinear water dose-response and catalyst-family interaction"	"Water/moisture; single-atom catalyst"	"Shows experimentally that too little and too much water hinder methanol synthesis and provides a defined optimal-content response."	"Independent catalyst platform; no overlap with T1-001–T1-015. Supporting information is available but the main paper is not fully open."	"No"	"4"
