"Study ID"	"Experimental Row ID"	"Paired Baseline ID"	"Authors & Year"	"Short Title"	"DOI / Link"	"Catalyst"	"Catalyst Details"	"Hydrogen Source"	"Impurity Category"	"Impurity Species"	"Impurity Conc (ppm)"	"Temp (°C)"	"Pressure (bar)"	"H2:CO2 ratio"	"Space velocity (GHSV, /h)"	"Time on stream (h)"	"MeOH metric type"	"Baseline"	"With impurity"	"Recovery Value"	"% change in MeOH"	"Measured / Calculated / Digitized"	"Reversible?"	"Deactivation noted?"	"Notes / mechanism"	"Source quote & page"	"Data Quality"	"Modeling Status"	"Duplicate Status"
"T1-004"	"T1-004-ETH"	"T1-004-LP-REF"	"He et al. 2020"	"Influence of Contaminants in Steel Mill Exhaust Gases on Cu/ZnO/Al2O3 Catalysts Applied in Methanol Synthesis"	"https://doi.org/10.1002/cite.202000045"	"Industrial Cu/ZnO/Al2O3"	"Clariant industrial catalyst; sieve fraction 250-355 um; 0.2-1.0 g depending setup (CEC1 0.5 g; CEC2 1.0 g; RUB1 0.3 g; RUB2 0.2 g)"	"Synthetic laboratory feed"	"Hydrocarbon"	"Ethane"	"10000"	"210"	"1"	"Syngas; detailed composition in SI"	"Not reported"	"45"	"Normalized XCOx (qualitative)"	"Not reported"	"No significant change"	"Initial conversion regained after switch back"	"Not calculated"	"Measured"	"Yes"	"No"	"Continuous impurity exposure | Run/sample: Ethane | Impurity source: separate co-feed | Reported concentration: 1 vol% | Catalyst loading pre: Not applicable wt% | Catalyst loading post: Not applicable wt% | Inert spectator; no C-C cracking/coking"	"PDF p.4 Fig.2a; PDF p.6 Table 2"	"Medium"	"Mechanism-only"	"No known duplicate"
"T1-004"	"T1-004-OCT"	"T1-004-LP-REF"	"He et al. 2020"	"Influence of Contaminants in Steel Mill Exhaust Gases on Cu/ZnO/Al2O3 Catalysts Applied in Methanol Synthesis"	"https://doi.org/10.1002/cite.202000045"	"Industrial Cu/ZnO/Al2O3"	"Clariant industrial catalyst; sieve fraction 250-355 um; 0.2-1.0 g depending setup (CEC1 0.5 g; CEC2 1.0 g; RUB1 0.3 g; RUB2 0.2 g)"	"Synthetic laboratory feed"	"Hydrocarbon"	"Octane"	"10000"	"210"	"1"	"Syngas; detailed composition in SI"	"Not reported"	"45"	"Normalized XCOx (qualitative)"	"Not reported"	"No significant change"	"Initial conversion regained after switch back"	"Not calculated"	"Measured"	"Yes"	"No"	"Continuous impurity exposure | Run/sample: Octane | Impurity source: separate co-feed | Reported concentration: 1 vol% | Catalyst loading pre: Not applicable wt% | Catalyst loading post: Not applicable wt% | Inert spectator"	"PDF p.4 Fig.2a; PDF p.6 Table 2"	"Medium"	"Mechanism-only"	"No known duplicate"
"T1-004"	"T1-004-CYC"	"T1-004-LP-REF"	"He et al. 2020"	"Influence of Contaminants in Steel Mill Exhaust Gases on Cu/ZnO/Al2O3 Catalysts Applied in Methanol Synthesis"	"https://doi.org/10.1002/cite.202000045"	"Industrial Cu/ZnO/Al2O3"	"Clariant industrial catalyst; sieve fraction 250-355 um; 0.2-1.0 g depending setup (CEC1 0.5 g; CEC2 1.0 g; RUB1 0.3 g; RUB2 0.2 g)"	"Synthetic laboratory feed"	"Hydrocarbon"	"Cyclohexane"	"10000"	"210"	"1"	"Syngas; detailed composition in SI"	"Not reported"	"45"	"Normalized XCOx (qualitative)"	"Not reported"	"No significant change"	"Initial conversion regained after switch back"	"Not calculated"	"Measured"	"Yes"	"No"	"Continuous impurity exposure | Run/sample: Cyclohexane | Impurity source: separate co-feed | Reported concentration: 1 vol% | Catalyst loading pre: Not applicable wt% | Catalyst loading post: Not applicable wt% | Inert spectator"	"PDF p.4 Fig.2a; PDF p.6 Table 2"	"Medium"	"Mechanism-only"	"No known duplicate"
"T1-004"	"T1-004-BENZ-LP"	"T1-004-LP-REF"	"He et al. 2020"	"Influence of Contaminants in Steel Mill Exhaust Gases on Cu/ZnO/Al2O3 Catalysts Applied in Methanol Synthesis"	"https://doi.org/10.1002/cite.202000045"	"Industrial Cu/ZnO/Al2O3"	"Clariant industrial catalyst; sieve fraction 250-355 um; 0.2-1.0 g depending setup (CEC1 0.5 g; CEC2 1.0 g; RUB1 0.3 g; RUB2 0.2 g)"	"Synthetic laboratory feed"	"Hydrocarbon"	"Benzene"	"10000"	"210"	"1"	"Syngas; detailed composition in SI"	"Not reported"	"45"	"Normalized XCOx (qualitative)"	"Not reported"	"No significant change"	"Initial conversion regained after switch back"	"Not calculated"	"Measured"	"Yes"	"No"	"Continuous impurity exposure | Run/sample: Benzene low pressure | Impurity source: separate co-feed | Reported concentration: 1 vol% | Catalyst loading pre: Not applicable wt% | Catalyst loading post: Not applicable wt% | Inert spectator"	"PDF p.4 Fig.2a; PDF p.6 Table 2"	"Medium"	"Mechanism-only"	"No known duplicate"
"T1-004"	"T1-004-BENZ-HP"	"T1-004-HP60-REF"	"He et al. 2020"	"Influence of Contaminants in Steel Mill Exhaust Gases on Cu/ZnO/Al2O3 Catalysts Applied in Methanol Synthesis"	"https://doi.org/10.1002/cite.202000045"	"Industrial Cu/ZnO/Al2O3"	"Clariant industrial catalyst; sieve fraction 250-355 um; 0.2-1.0 g depending setup (CEC1 0.5 g; CEC2 1.0 g; RUB1 0.3 g; RUB2 0.2 g)"	"Synthetic laboratory feed"	"Hydrocarbon"	"Benzene"	"300"	"210"	"60"	"Syngas; detailed composition in SI"	"Not reported"	"77"	"Methanol performance (qualitative)"	"Not reported"	"No effect reported"	"Not reported"	"Not calculated"	"Measured"	"Not reported"	"No"	"Continuous impurity exposure | Run/sample: Benzene high pressure | Impurity source: separate co-feed | Reported concentration: 0.03 vol% | Catalyst loading pre: Not applicable wt% | Catalyst loading post: Not applicable wt% | Inert spectator"	"PDF p.5 text; PDF p.6 Table 2"	"Medium"	"Mechanism-only"	"No known duplicate"
"T1-004"	"T1-004-TOL"	"T1-004-LP-REF"	"He et al. 2020"	"Influence of Contaminants in Steel Mill Exhaust Gases on Cu/ZnO/Al2O3 Catalysts Applied in Methanol Synthesis"	"https://doi.org/10.1002/cite.202000045"	"Industrial Cu/ZnO/Al2O3"	"Clariant industrial catalyst; sieve fraction 250-355 um; 0.2-1.0 g depending setup (CEC1 0.5 g; CEC2 1.0 g; RUB1 0.3 g; RUB2 0.2 g)"	"Synthetic laboratory feed"	"Hydrocarbon"	"Toluene"	"10000"	"210"	"1"	"Syngas; detailed composition in SI"	"Not reported"	"45"	"Normalized XCOx (qualitative)"	"Not reported"	"No significant change"	"Initial conversion regained after switch back"	"Not calculated"	"Measured"	"Yes"	"No"	"Continuous impurity exposure | Run/sample: Toluene | Impurity source: separate co-feed | Reported concentration: 1 vol% | Catalyst loading pre: Not applicable wt% | Catalyst loading post: Not applicable wt% | Inert spectator"	"PDF p.4 Fig.2a; PDF p.6 Table 2"	"Medium"	"Mechanism-only"	"No known duplicate"
"T1-004"	"T1-004-NH3-LP"	"T1-004-LP-REF"	"He et al. 2020"	"Influence of Contaminants in Steel Mill Exhaust Gases on Cu/ZnO/Al2O3 Catalysts Applied in Methanol Synthesis"	"https://doi.org/10.1002/cite.202000045"	"Industrial Cu/ZnO/Al2O3"	"Clariant industrial catalyst; sieve fraction 250-355 um; 0.2-1.0 g depending setup (CEC1 0.5 g; CEC2 1.0 g; RUB1 0.3 g; RUB2 0.2 g)"	"Synthetic laboratory feed"	"Nitrogen"	"NH3"	"3000"	"210"	"1"	"Syngas; detailed composition in SI"	"Not reported"	"5"	"Normalized XCOx (arbitrary normalized units)"	"Needs manual extraction"	"Needs manual extraction"	"Initial conversion regained"	"Not calculated"	"Measured"	"Yes"	"Yes"	"Continuous impurity exposure | Run/sample: NH3 low pressure | Impurity source: separate co-feed | Reported concentration: 0.3 vol% | Catalyst loading pre: Not applicable wt% | Catalyst loading post: Not applicable wt% | Reversible Lewis/Brønsted acid-base interaction suppressing methanol formation"	"PDF p.4 Fig.2b; PDF p.5 text; PDF p.6 Table 2"	"Medium"	"Needs graph digitization"	"No known duplicate"
"T1-004"	"T1-004-NH3-HP"	"T1-004-HP60-REF"	"He et al. 2020"	"Influence of Contaminants in Steel Mill Exhaust Gases on Cu/ZnO/Al2O3 Catalysts Applied in Methanol Synthesis"	"https://doi.org/10.1002/cite.202000045"	"Industrial Cu/ZnO/Al2O3"	"Clariant industrial catalyst; sieve fraction 250-355 um; 0.2-1.0 g depending setup (CEC1 0.5 g; CEC2 1.0 g; RUB1 0.3 g; RUB2 0.2 g)"	"Synthetic laboratory feed"	"Nitrogen"	"NH3"	"500"	"210"	"60"	"Syngas; detailed composition in SI"	"Not reported"	"165"	"Methanol performance (qualitative)"	"Not reported"	"Reversible inhibition reported"	"Initial activity regained"	"Not calculated"	"Measured"	"Yes"	"Yes"	"Continuous impurity exposure | Run/sample: NH3 high pressure | Impurity source: separate co-feed | Reported concentration: 0.05 vol% | Catalyst loading pre: Not applicable wt% | Catalyst loading post: Not applicable wt% | Reversible N poisoning; trimethylamine byproduct motivates removal"	"PDF p.5 text; PDF p.6 Table 2"	"Medium"	"Mechanism-only"	"No known duplicate"
"T1-004"	"T1-004-CHA"	"T1-004-LP-REF"	"He et al. 2020"	"Influence of Contaminants in Steel Mill Exhaust Gases on Cu/ZnO/Al2O3 Catalysts Applied in Methanol Synthesis"	"https://doi.org/10.1002/cite.202000045"	"Industrial Cu/ZnO/Al2O3"	"Clariant industrial catalyst; sieve fraction 250-355 um; 0.2-1.0 g depending setup (CEC1 0.5 g; CEC2 1.0 g; RUB1 0.3 g; RUB2 0.2 g)"	"Synthetic laboratory feed"	"Nitrogen"	"Cyclohexylamine"	"100"	"210"	"1"	"Syngas; detailed composition in SI"	"Not reported"	"6"	"Normalized XCOx (qualitative)"	"Not reported"	"Significant reversible decrease"	"Not reported"	"Not calculated"	"Measured"	"Yes"	"Yes"	"Continuous impurity exposure | Run/sample: Cyclohexylamine | Impurity source: separate co-feed | Reported concentration: 0.01 vol% | Catalyst loading pre: Not applicable wt% | Catalyst loading post: Not applicable wt% | Reversible N-containing poison"	"PDF p.5 text; PDF p.6 Table 2"	"Medium"	"Mechanism-only"	"No known duplicate"
"T1-004"	"T1-004-PYR"	"T1-004-LP-REF"	"He et al. 2020"	"Influence of Contaminants in Steel Mill Exhaust Gases on Cu/ZnO/Al2O3 Catalysts Applied in Methanol Synthesis"	"https://doi.org/10.1002/cite.202000045"	"Industrial Cu/ZnO/Al2O3"	"Clariant industrial catalyst; sieve fraction 250-355 um; 0.2-1.0 g depending setup (CEC1 0.5 g; CEC2 1.0 g; RUB1 0.3 g; RUB2 0.2 g)"	"Synthetic laboratory feed"	"Nitrogen"	"Pyridine"	"100"	"210"	"1"	"Syngas; detailed composition in SI"	"Not reported"	"9"	"Normalized XCOx (qualitative)"	"Not reported"	"Significant reversible decrease"	"Not reported"	"Not calculated"	"Measured"	"Yes"	"Yes"	"Continuous impurity exposure | Run/sample: Pyridine | Impurity source: separate co-feed | Reported concentration: 0.01 vol% | Catalyst loading pre: Not applicable wt% | Catalyst loading post: Not applicable wt% | Reversible N-containing poison"	"PDF p.5 text; PDF p.6 Table 2"	"Medium"	"Mechanism-only"	"No known duplicate"
"T1-004"	"T1-004-ACN"	"T1-004-LP-REF"	"He et al. 2020"	"Influence of Contaminants in Steel Mill Exhaust Gases on Cu/ZnO/Al2O3 Catalysts Applied in Methanol Synthesis"	"https://doi.org/10.1002/cite.202000045"	"Industrial Cu/ZnO/Al2O3"	"Clariant industrial catalyst; sieve fraction 250-355 um; 0.2-1.0 g depending setup (CEC1 0.5 g; CEC2 1.0 g; RUB1 0.3 g; RUB2 0.2 g)"	"Synthetic laboratory feed"	"Nitrogen"	"Acetonitrile"	"100"	"210"	"1"	"Syngas; detailed composition in SI"	"Not reported"	"6"	"Normalized XCOx (qualitative)"	"Not reported"	"Significant reversible decrease"	"Not reported"	"Not calculated"	"Measured"	"Yes"	"Yes"	"Continuous impurity exposure | Run/sample: Acetonitrile | Impurity source: separate co-feed | Reported concentration: 0.01 vol% | Catalyst loading pre: Not applicable wt% | Catalyst loading post: Not applicable wt% | Reversible N-containing poison"	"PDF p.5 text; PDF p.6 Table 2"	"Medium"	"Mechanism-only"	"No known duplicate"
"T1-004"	"T1-004-O2-100"	"T1-004-O2-REF"	"He et al. 2020"	"Influence of Contaminants in Steel Mill Exhaust Gases on Cu/ZnO/Al2O3 Catalysts Applied in Methanol Synthesis"	"https://doi.org/10.1002/cite.202000045"	"Industrial Cu/ZnO/Al2O3"	"Clariant industrial catalyst; sieve fraction 250-355 um; 0.2-1.0 g depending setup (CEC1 0.5 g; CEC2 1.0 g; RUB1 0.3 g; RUB2 0.2 g)"	"Synthetic laboratory feed"	"Oxygen"	"O2"	"100"	"200-250"	"30/50"	"Syngas; detailed composition in SI"	"Not reported"	"Not reported"	"Relative decrease of WTYMeOH during dosing (percentage points relative decrease)"	"0"	"-0.5"	"Not reported"	"Not applicable"	"Measured"	"Not reported"	"No clear cumulative activity effect"	"Continuous impurity exposure | Run/sample: O2 0.01% | Impurity source: separate co-feed | Reported concentration: 0.01 vol% | Catalyst loading pre: Not applicable wt% | Catalyst loading post: Not applicable wt% | Oxidation/hydrogenation to water; low dose has minimal effect"	"PDF p.5 results text"	"High"	"Modeling-ready for methanol-output model"	"No known duplicate"
"T1-004"	"T1-004-O2-200"	"T1-004-O2-REF"	"He et al. 2020"	"Influence of Contaminants in Steel Mill Exhaust Gases on Cu/ZnO/Al2O3 Catalysts Applied in Methanol Synthesis"	"https://doi.org/10.1002/cite.202000045"	"Industrial Cu/ZnO/Al2O3"	"Clariant industrial catalyst; sieve fraction 250-355 um; 0.2-1.0 g depending setup (CEC1 0.5 g; CEC2 1.0 g; RUB1 0.3 g; RUB2 0.2 g)"	"Synthetic laboratory feed"	"Oxygen"	"O2"	"200"	"200-250"	"30/50"	"Syngas; detailed composition in SI"	"Not reported"	"Not reported"	"Relative decrease of WTYMeOH during dosing (percentage points relative decrease)"	"0"	"-1.8"	"Not reported"	"Not applicable"	"Measured"	"Not reported"	"No clear cumulative activity effect"	"Continuous impurity exposure | Run/sample: O2 0.02% | Impurity source: separate co-feed | Reported concentration: 0.02 vol% | Catalyst loading pre: Not applicable wt% | Catalyst loading post: Not applicable wt% | Oxidation/hydrogenation to water; low dose has small effect"	"PDF p.5 results text"	"High"	"Modeling-ready for methanol-output model"	"No known duplicate"
"T1-004"	"T1-004-O2-LP"	"T1-004-LP-REF"	"He et al. 2020"	"Influence of Contaminants in Steel Mill Exhaust Gases on Cu/ZnO/Al2O3 Catalysts Applied in Methanol Synthesis"	"https://doi.org/10.1002/cite.202000045"	"Industrial Cu/ZnO/Al2O3"	"Clariant industrial catalyst; sieve fraction 250-355 um; 0.2-1.0 g depending setup (CEC1 0.5 g; CEC2 1.0 g; RUB1 0.3 g; RUB2 0.2 g)"	"Synthetic laboratory feed"	"Oxygen"	"O2"	"500"	"210"	"1"	"Syngas"	"Not reported"	"14"	"Normalized XCOx (arbitrary normalized units)"	"Needs manual extraction"	"Needs manual extraction"	"Initial conversion regained"	"Not calculated"	"Measured"	"Yes"	"Yes"	"Continuous impurity exposure and recovery | Run/sample: O2 low pressure | Impurity source: separate co-feed | Reported concentration: 0.05 vol% | Catalyst loading pre: Not applicable wt% | Catalyst loading post: Not applicable wt% | O2 hydrogenated to H2O faster than persistent oxidation at low partial pressure"	"PDF p.5 Fig.3a; PDF p.6 Table 2"	"Medium"	"Needs graph digitization"	"No known duplicate"
