"Study ID"	"Experimental Row ID"	"Authors & Year"	"Impurity Species"	"Metric Type"	"What Needs Extraction"	"Evidence / Figure / Page"	"Current Quality"	"Modeling Status"	"Completion Status"	"Reviewer Notes"
"T1-009"	"T1-009-O2-CZZSI"	"Warmuth et al. 2026"	"O2"	"Structural aging endpoint"	"Graph digitization required for quantitative crystallite/surface-area endpoints"	"PDF pp.3-5 Figs.3-4 and Table 4; methods pp.5-7 Tables 5-6"	"Low"	"Mechanism-only"	"Pending"	""
"T1-013"	"T1-013-CGZ-523-X"	"Toyir et al. 2001"	"CH4 + C2H6 mixture"	"CO2 conversion"	"Digitize matching clean-feed value from Fig.8 before calculating impurity effect"	"PDF p.5 Table 3 and Fig.8; mechanism pp.3-6"	"High for impure value; baseline unavailable numerically"	"Needs graph digitization"	"Pending"	""
"T1-013"	"T1-013-CGZ-523-S"	"Toyir et al. 2001"	"CH4 + C2H6 mixture"	"MeOH selectivity"	"Digitize matching clean-feed value from Fig.8 before calculating impurity effect"	"PDF p.5 Table 3 and Fig.8; mechanism pp.3-6"	"High for impure value; baseline unavailable numerically"	"Needs graph digitization"	"Pending"	""
"T1-013"	"T1-013-CGZ-533-X"	"Toyir et al. 2001"	"CH4 + C2H6 mixture"	"CO2 conversion"	"Digitize matching clean-feed value from Fig.8 before calculating impurity effect"	"PDF p.5 Table 3 and Fig.8; mechanism pp.3-6"	"High for impure value; baseline unavailable numerically"	"Needs graph digitization"	"Pending"	""
"T1-013"	"T1-013-CGZ-533-S"	"Toyir et al. 2001"	"CH4 + C2H6 mixture"	"MeOH selectivity"	"Digitize matching clean-feed value from Fig.8 before calculating impurity effect"	"PDF p.5 Table 3 and Fig.8; mechanism pp.3-6"	"High for impure value; baseline unavailable numerically"	"Needs graph digitization"	"Pending"	""
"T1-013"	"T1-013-CGZ-543-X"	"Toyir et al. 2001"	"CH4 + C2H6 mixture"	"CO2 conversion"	"Digitize matching clean-feed value from Fig.8 before calculating impurity effect"	"PDF p.5 Table 3 and Fig.8; mechanism pp.3-6"	"High for impure value; baseline unavailable numerically"	"Needs graph digitization"	"Pending"	""
"T1-013"	"T1-013-CGZ-543-S"	"Toyir et al. 2001"	"CH4 + C2H6 mixture"	"MeOH selectivity"	"Digitize matching clean-feed value from Fig.8 before calculating impurity effect"	"PDF p.5 Table 3 and Fig.8; mechanism pp.3-6"	"High for impure value; baseline unavailable numerically"	"Needs graph digitization"	"Pending"	""
"T1-013"	"T1-013-CZGS-523-X"	"Toyir et al. 2001"	"CH4 + C2H6 mixture"	"CO2 conversion"	"Digitize matching clean-feed value from Fig.8 before calculating impurity effect"	"PDF p.5 Table 3 and Fig.8; mechanism pp.3-6"	"High for impure value; baseline unavailable numerically"	"Needs graph digitization"	"Pending"	""
"T1-013"	"T1-013-CZGS-523-S"	"Toyir et al. 2001"	"CH4 + C2H6 mixture"	"MeOH selectivity"	"Digitize matching clean-feed value from Fig.8 before calculating impurity effect"	"PDF p.5 Table 3 and Fig.8; mechanism pp.3-6"	"High for impure value; baseline unavailable numerically"	"Needs graph digitization"	"Pending"	""
"T1-013"	"T1-013-CZGS-533-X"	"Toyir et al. 2001"	"CH4 + C2H6 mixture"	"CO2 conversion"	"Digitize matching clean-feed value from Fig.8 before calculating impurity effect"	"PDF p.5 Table 3 and Fig.8; mechanism pp.3-6"	"High for impure value; baseline unavailable numerically"	"Needs graph digitization"	"Pending"	""
"T1-013"	"T1-013-CZGS-533-S"	"Toyir et al. 2001"	"CH4 + C2H6 mixture"	"MeOH selectivity"	"Digitize matching clean-feed value from Fig.8 before calculating impurity effect"	"PDF p.5 Table 3 and Fig.8; mechanism pp.3-6"	"High for impure value; baseline unavailable numerically"	"Needs graph digitization"	"Pending"	""
"T1-013"	"T1-013-CZGS-543-X"	"Toyir et al. 2001"	"CH4 + C2H6 mixture"	"CO2 conversion"	"Digitize matching clean-feed value from Fig.8 before calculating impurity effect"	"PDF p.5 Table 3 and Fig.8; mechanism pp.3-6"	"High for impure value; baseline unavailable numerically"	"Needs graph digitization"	"Pending"	""
"T1-013"	"T1-013-CZGS-543-S"	"Toyir et al. 2001"	"CH4 + C2H6 mixture"	"MeOH selectivity"	"Digitize matching clean-feed value from Fig.8 before calculating impurity effect"	"PDF p.5 Table 3 and Fig.8; mechanism pp.3-6"	"High for impure value; baseline unavailable numerically"	"Needs graph digitization"	"Pending"	""
"T1-013"	"T1-013-CZGS-543-ACT"	"Toyir et al. 2001"	"CH4 + C2H6 mixture"	"MeOH synthesis activity"	"Digitize exact initial activity from Fig.8A"	"PDF p.5 Fig.8 and explicit results text"	"High for final activity; low for baseline"	"Needs graph digitization"	"Pending"	""
"T1-010"	"T1-010-CUZNO-S"	"Ma et al. 2008"	"H2S"	"MeOH selectivity"	"Digitize Fig.1"	"T1-010 PDF pp.1-2 Fig.1 and explicit results text"	"Medium; censored text endpoint"	"Needs graph digitization"	"Pending"	""
"T1-010"	"T1-010-PDAL-X"	"Ma et al. 2008"	"H2S"	"CO conversion"	"Digitize initial Fig.1 endpoint"	"T1-010 PDF pp.1-2 Fig.1 and explicit results text"	"High for final endpoint; baseline graph-only"	"Needs graph digitization"	"Pending"	""
"T1-010"	"T1-010-PDAL-S"	"Ma et al. 2008"	"H2S"	"MeOH selectivity"	"Digitize initial Fig.1 endpoint"	"T1-010 PDF pp.1-2 Fig.1 and explicit results text"	"High for final endpoint; baseline graph-only"	"Needs graph digitization"	"Pending"	""
"T1-010"	"T1-010-PDCE-X"	"Ma et al. 2008"	"H2S"	"CO conversion"	"Digitize initial Fig.1 endpoint"	"T1-010 PDF pp.1-2 Fig.1 and explicit results text"	"High for final endpoint; baseline graph-only"	"Possible duplicate observation"	"Pending"	""
"T1-010"	"T1-010-PDCE-S"	"Ma et al. 2008"	"H2S"	"MeOH selectivity"	"Digitize initial Fig.1 endpoint"	"T1-010 PDF pp.1-2 Fig.1 and explicit results text"	"High for final endpoint; baseline graph-only"	"Possible duplicate observation"	"Pending"	""
"T1-010"	"T1-010-OPT-T220-X"	"Ma et al. 2008"	"H2S"	"CO conversion"	"Remaining Fig.3 series points require digitization"	"T1-010 PDF p.3 Fig.3 and explicit text"	"High for text-reported point"	"Modeling-ready for impurity-scenario inputs"	"Pending"	""
"T1-010"	"T1-010-OPT-T280-X"	"Ma et al. 2008"	"H2S"	"CO conversion"	"Remaining Fig.3 series points require digitization"	"T1-010 PDF p.3 Fig.3 and explicit text"	"High for text-reported point"	"Modeling-ready for impurity-scenario inputs"	"Pending"	""
"T1-010"	"T1-010-OPT-T240-S"	"Ma et al. 2008"	"H2S"	"MeOH selectivity"	"Remaining Fig.3 series points require digitization"	"T1-010 PDF p.3 Fig.3 and explicit text"	"High for text-reported point"	"Modeling-ready for impurity-scenario inputs"	"Pending"	""
"T1-012"	"T1-012-PDCE-X"	"Ma et al. 2008"	"H2S"	"CO conversion"	"Digitize clean endpoint from Fig.1b; likely duplicates T1-010 Pd/CeO2 30 ppm series"	"T1-012 PDF pp.2-4 Figs.1-4 and explicit results text"	"High for impure endpoint; clean endpoint graph/text bounded"	"Possible duplicate observation"	"Pending"	""
"T1-012"	"T1-012-PDCE-S"	"Ma et al. 2008"	"H2S"	"MeOH selectivity"	"Digitize clean endpoint from Fig.1b; likely duplicates T1-010 Pd/CeO2 30 ppm series"	"T1-012 PDF pp.2-4 Figs.1-4 and explicit results text"	"High for impure endpoint; clean endpoint graph/text bounded"	"Possible duplicate observation"	"Pending"	""
"T1-014"	"T1-014-NH3-T230"	"Laudenschleger et al. 2020"	"NH3"	"Methanol mole-fraction inhibition trace"	"Yes"	"T1-014 PDF p.8 Methods; results in Supplementary Fig. 10"	"Medium"	"Needs graph digitization"	"Pending"	""
"T1-014"	"T1-014-NH3-T250"	"Laudenschleger et al. 2020"	"NH3"	"Methanol mole-fraction inhibition trace"	"Yes"	"T1-014 PDF p.8 Methods; results in Supplementary Fig. 10"	"Medium"	"Needs graph digitization"	"Pending"	""
"T1-014"	"T1-014-NH3-PRESS"	"Laudenschleger et al. 2020"	"NH3"	"Methanol mole-fraction inhibition trace"	"Yes"	"T1-014 PDF p.8 Methods; results in Supplementary Fig. 9"	"Medium"	"Needs graph digitization"	"Pending"	""
"T1-014"	"T1-014-COFEED-NH3"	"Laudenschleger et al. 2020"	"NH3"	"Methanol mole-fraction inhibition trace"	"Yes"	"T1-014 PDF p.8 Methods; quantitative trace in supplementary material"	"Medium"	"Needs graph digitization"	"Pending"	""
"T1-014"	"T1-014-COFEED-NO"	"Laudenschleger et al. 2020"	"NO"	"Methanol mole-fraction inhibition trace"	"Yes"	"T1-014 PDF p.8 Methods; quantitative trace in supplementary material"	"Medium"	"Needs graph digitization"	"Pending"	""
"T1-014"	"T1-014-COFEED-MMA"	"Laudenschleger et al. 2020"	"Monomethylamine"	"Methanol mole-fraction inhibition trace"	"Yes"	"T1-014 PDF p.8 Methods; quantitative trace in supplementary material"	"Medium"	"Needs graph digitization"	"Pending"	""
"T1-014"	"T1-014-COFEED-DMA"	"Laudenschleger et al. 2020"	"Dimethylamine"	"Methanol mole-fraction inhibition trace"	"Yes"	"T1-014 PDF p.8 Methods; quantitative trace in supplementary material"	"Medium"	"Needs graph digitization"	"Pending"	""
"T1-014"	"T1-014-COFEED-TMA"	"Laudenschleger et al. 2020"	"Trimethylamine"	"Methanol mole-fraction inhibition trace"	"Yes"	"T1-014 PDF p.8 Methods; quantitative trace in supplementary material"	"Medium"	"Needs graph digitization"	"Pending"	""
