study_id,experimental_row_id,authors_year,source_doi,catalyst_family,catalyst_label,impurity_species,impurity_conc_ppm,impurity_conc_min_ppm,impurity_conc_max_ppm,exposure_h,exposure_events,reactor_phase,exposure_mode,reaction_temp_c,pressure_bar,ghsv_h_minus_1,time_on_stream_h,analysis_family,outcome_cohort,baseline_value,impure_value,reported_value,reported_retention_pct,reported_unit,initial_productivity_g_meoh_h_lcat,measurement_status,data_quality,modeling_role,duplicate_status,evidence_location,notes
T2-001,T2-001-IND-07A,Chai et al. (1991),10.1016/S0167-2991(08)62681-6,Cu/ZnO/Al2O3,"Commercial spent catalyst 7 exterior",Mixed sulfur compounds,,,,,,gas_fixed_bed,industrial_service,250,50,15000,,industrial_external_validation,reported_residual_activity,,0.0174,,63.3,mol CH3OH mL_cat^-1 h^-1,,reported,high,external_validation,no_known_duplicate,"PDF p. 4; printed p. 542; Table 2","Industrial syngas contained H2S COS CS2 and other sulfur compounds; total catalyst sulfur was 0.22 wt%."
T2-001,T2-001-IND-07B,Chai et al. (1991),10.1016/S0167-2991(08)62681-6,Cu/ZnO/Al2O3,"Commercial spent catalyst 7 core",Mixed sulfur compounds,,,,,,gas_fixed_bed,industrial_service,250,50,15000,,industrial_external_validation,reported_residual_activity,,0.0186,,67.6,mol CH3OH mL_cat^-1 h^-1,,reported,high,external_validation,no_known_duplicate,"PDF p. 4; printed p. 542; Table 2","Industrial syngas contained H2S COS CS2 and other sulfur compounds; total catalyst sulfur was 0.12 wt%."
T2-001,T2-001-IND-08A,Chai et al. (1991),10.1016/S0167-2991(08)62681-6,Cu/ZnO/Al2O3,"Commercial spent catalyst 8 exterior",Mixed sulfur compounds,,,,,,gas_fixed_bed,industrial_service,250,50,15000,,industrial_external_validation,reported_residual_activity,,0.0086,,31.3,mol CH3OH mL_cat^-1 h^-1,,reported,high,external_validation,no_known_duplicate,"PDF p. 4; printed p. 542; Table 2","Industrial syngas contained H2S COS CS2 and other sulfur compounds; total catalyst sulfur was 0.55 wt%."
T2-001,T2-001-IND-08B,Chai et al. (1991),10.1016/S0167-2991(08)62681-6,Cu/ZnO/Al2O3,"Commercial spent catalyst 8 core",Mixed sulfur compounds,,,,,,gas_fixed_bed,industrial_service,250,50,15000,,industrial_external_validation,reported_residual_activity,,0.0109,,39.6,mol CH3OH mL_cat^-1 h^-1,,reported,high,external_validation,no_known_duplicate,"PDF p. 4; printed p. 542; Table 2","Industrial syngas contained H2S COS CS2 and other sulfur compounds; total catalyst sulfur was 0.35 wt%."
T2-001,T2-001-IND-09A,Chai et al. (1991),10.1016/S0167-2991(08)62681-6,Cu/ZnO/Al2O3,"Commercial spent catalyst 9 exterior",Mixed sulfur compounds,,,,,,gas_fixed_bed,industrial_service,250,50,15000,,industrial_external_validation,reported_residual_activity,,0.0000,,0.0,mol CH3OH mL_cat^-1 h^-1,,reported,medium,external_validation,no_known_duplicate,"PDF p. 4; printed p. 542; Table 2","Activity and retention were reported approximately as zero; total catalyst sulfur was 4.60 wt%."
T2-001,T2-001-IND-09B-250C,Chai et al. (1991),10.1016/S0167-2991(08)62681-6,Cu/ZnO/Al2O3,"Commercial spent catalyst 9 core",Mixed sulfur compounds,,,,,,gas_fixed_bed,industrial_service,250,50,15000,,industrial_external_validation,reported_residual_activity,,0.0045,,16.4,mol CH3OH mL_cat^-1 h^-1,,reported,high,external_validation,no_known_duplicate,"PDF p. 4; printed p. 542; Table 2","Standard 250 C activity test; total catalyst sulfur was 1.50 wt%."
T2-001,T2-001-IND-09B-290C,Chai et al. (1991),10.1016/S0167-2991(08)62681-6,Cu/ZnO/Al2O3,"Commercial spent catalyst 9 core",Mixed sulfur compounds,,,,,,gas_fixed_bed,industrial_service,290,50,15000,,industrial_external_validation,reported_residual_activity,,0.0097,,35.3,mol CH3OH mL_cat^-1 h^-1,,reported,high,external_validation,no_known_duplicate,"PDF p. 4; printed p. 542; Table 2","Separate elevated-temperature activity test on sample 9B; not pooled with the 250 C test as a replicate."
T2-002,T2-002-C79-H2S-1.6,Wood et al. (1980),10.1021/i360074a013,Cu-based methanol catalyst,C79-1,H2S,1.6,1.6,1.6,,,gas_fixed_bed,continuous_cofeed,230,34.47,10000,,deactivation_kinetics,first_order_decay_rate,,,0.011,,h^-1,,reported,high,separate_kinetic,article_report_single_dataset,"Article fixed-bed decay series","Pressure is reported as 34.47 bar gauge; feed was 32% CO 66% H2 and 2% CO2."
T2-002,T2-002-C79-H2S-3.2,Wood et al. (1980),10.1021/i360074a013,Cu-based methanol catalyst,C79-1,H2S,3.2,3.2,3.2,,,gas_fixed_bed,continuous_cofeed,230,34.47,10000,,deactivation_kinetics,first_order_decay_rate,,,0.025,,h^-1,,reported,high,separate_kinetic,article_report_single_dataset,"Article fixed-bed decay series","Pressure is reported as 34.47 bar gauge; feed was 32% CO 66% H2 and 2% CO2."
T2-002,T2-002-C79-H2S-33,Wood et al. (1980),10.1021/i360074a013,Cu-based methanol catalyst,C79-1,H2S,33,33,33,,,gas_fixed_bed,continuous_cofeed,230,34.47,10000,,deactivation_kinetics,first_order_decay_rate,,,0.153,,h^-1,,reported,high,separate_kinetic,article_report_single_dataset,"Article fixed-bed decay series","Pressure is reported as 34.47 bar gauge; feed was 32% CO 66% H2 and 2% CO2."
T2-002,T2-002-C79-H2S-K,Wood et al. (1980),10.1021/i360074a013,Cu-based methanol catalyst,C79-1,H2S,,1.6,33,,,gas_fixed_bed,continuous_cofeed,230,34.47,10000,,deactivation_kinetics,poisoning_rate_constant,,,0.80,,10^4 L mol^-1 h^-1 table-scaled,,reported,high,separate_kinetic,article_report_single_dataset,"Article Table III","Aggregate coefficient for the reported 1.6-33 ppm concentration range."
T2-002,T2-002-C79-COS-K,Wood et al. (1980),10.1021/i360074a013,Cu-based methanol catalyst,C79-1,COS,,0.6,9,,,gas_fixed_bed,continuous_cofeed,230,34.47,10000,,deactivation_kinetics,poisoning_rate_constant,,,0.00,,10^4 L mol^-1 h^-1 table-scaled,,reported,high,separate_kinetic,article_report_single_dataset,"Article Table III","No measurable poisoning coefficient was reported over the tested COS range."
T2-002,T2-002-C79-THIOPHENE-K,Wood et al. (1980),10.1021/i360074a013,Cu-based methanol catalyst,C79-1,Thiophene,,3,5.4,,,gas_fixed_bed,continuous_cofeed,230,34.47,10000,,deactivation_kinetics,poisoning_rate_constant,,,1.02,,10^4 L mol^-1 h^-1 table-scaled,,reported,high,separate_kinetic,article_report_single_dataset,"Article Table III","Aggregate coefficient for the reported 3-5.4 ppm concentration range."
T2-002,T2-002-B-H2S-K,Wood et al. (1980),10.1021/i360074a013,Cu-based methanol catalyst,Catalyst B,H2S,,0.08,40,,,gas_fixed_bed,continuous_cofeed,241,,,,deactivation_kinetics,poisoning_rate_constant,,,5.50,,10^4 L mol^-1 h^-1 table-scaled,,reported,high,separate_kinetic,article_report_single_dataset,"Article Table III","Aggregate coefficient for the reported 0.08-40 ppm concentration range."
T2-002,T2-002-B-COS-K,Wood et al. (1980),10.1021/i360074a013,Cu-based methanol catalyst,Catalyst B,COS,,0.01,7,,,gas_fixed_bed,continuous_cofeed,241,,,,deactivation_kinetics,poisoning_rate_constant,,,0.00,,10^4 L mol^-1 h^-1 table-scaled,,reported,high,separate_kinetic,article_report_single_dataset,"Article Table III","No measurable poisoning coefficient was reported over the tested COS range."
T2-002,T2-002-ZN0312-H2S-K,Wood et al. (1980),10.1021/i360074a013,Cu-based methanol catalyst,Zn-0312,H2S,,0.08,1.5,,,gas_fixed_bed,continuous_cofeed,300,206.84,80700,,deactivation_kinetics,poisoning_rate_constant,,,0.095,,10^4 L mol^-1 h^-1 table-scaled,,reported,high,separate_kinetic,article_report_single_dataset,"Article Table III","Pressure is reported as 206.84 bar gauge; measured GHSV was 80700 h^-1 and the authors normalized the coefficient to 10000 h^-1."
T2-002,T2-002-ZN0312-THIOPHENE-K,Wood et al. (1980),10.1021/i360074a013,Cu-based methanol catalyst,Zn-0312,Thiophene,5.2,5.2,5.2,,,gas_fixed_bed,continuous_cofeed,300,206.84,80700,,deactivation_kinetics,poisoning_rate_constant,,,0.041,,10^4 L mol^-1 h^-1 table-scaled,,reported,high,separate_kinetic,article_report_single_dataset,"Article Table III","Pressure is reported as 206.84 bar gauge; measured GHSV was 80700 h^-1 and the authors normalized the coefficient to 10000 h^-1."
T2-003,T2-003-FECO5,Roberts et al. (1990),10.1016/0009-2509(90)80162-8,Cu/ZnO/Al2O3,Commercial CZA slurry,Fe(CO)5,1,1,1,,,slurry,continuous_cofeed,247,53,5500,200,activity_retention,normalized_activity,0.77,0.58,,,graph-scale activity,,digitized,medium,phase_specific_secondary,no_known_duplicate,"Article activity-time figure","CO-rich feed: 35% H2 51% CO 13% CO2 and 1% N2; endpoint values are digitized and exposure duration is not independently encoded."
T2-003,T2-003-NICO4,Roberts et al. (1990),10.1016/0009-2509(90)80162-8,Cu/ZnO/Al2O3,Commercial CZA slurry,Ni(CO)4,1,1,1,,,slurry,continuous_cofeed,247,53,5500,140,activity_retention,normalized_activity,0.75,0.50,,,graph-scale activity,,digitized,medium,phase_specific_secondary,no_known_duplicate,"Article activity-time figure","CO-rich feed: 35% H2 51% CO 13% CO2 and 1% N2; endpoint values are digitized and exposure duration is not independently encoded."
T2-003,T2-003-COS,Roberts et al. (1990),10.1016/0009-2509(90)80162-8,Cu/ZnO/Al2O3,Commercial CZA slurry,COS,5,5,5,,,slurry,continuous_cofeed,247,53,10000,310,activity_retention,normalized_activity,0.77,0.16,,,graph-scale activity,,digitized,medium,phase_specific_secondary,no_known_duplicate,"Article activity-time figure","No effluent COS was detected; final measured sulfur was 0.58 wt% versus 0.55 wt% calculated."
T2-004,T2-004-CUSRTI-RETENTION,Prasnikar and Likozar (2022),10.1039/D1RE00486G,Cu/Sr/Ti oxide,CuSrTi,H2S,8.1,8.1,8.1,17,,gas_fixed_bed,continuous_cofeed,240,20,40000,17,activity_retention,normalized_activity,1.00,0.05,,,normalized activity,,digitized,medium,primary_candidate,no_known_duplicate,"Article H2S time-series figure","H2:CO2 = 3; approximately 5% activity remained after 17 h of H2S co-feed."
T2-004,T2-004-CUZNAL-RETENTION,Prasnikar and Likozar (2022),10.1039/D1RE00486G,Cu/ZnO/Al2O3,Commercial CuZnAl,H2S,8.1,8.1,8.1,30,,gas_fixed_bed,continuous_cofeed,240,20,40000,30,activity_retention,normalized_activity,1.00,0.90,,,normalized activity,,digitized,medium,primary_candidate,no_known_duplicate,"Article H2S time-series figure","H2:CO2 = 3; approximately 90% activity remained after 30 h and methanol selectivity was reported as unchanged."
T2-004,T2-004-CUSRTI-K,Prasnikar and Likozar (2022),10.1039/D1RE00486G,Cu/Sr/Ti oxide,CuSrTi,H2S,8.1,8.1,8.1,,,gas_fixed_bed,continuous_cofeed,240,20,40000,,catalyst_sensitivity,intrinsic_deactivation_coefficient,,,0.285,,g_cat mL_feed^-1,130,reported,high,separate_kinetic,no_known_duplicate,"Article Table 6","Initial productivity is recorded separately and must not be treated as the poisoned endpoint."
T2-004,T2-004-CUCATI-K,Prasnikar and Likozar (2022),10.1039/D1RE00486G,Cu/Ca/Ti oxide,CuCaTi,H2S,8.1,8.1,8.1,,,gas_fixed_bed,continuous_cofeed,240,20,40000,,catalyst_sensitivity,intrinsic_deactivation_coefficient,,,0.103,,g_cat mL_feed^-1,165,reported,high,separate_kinetic,no_known_duplicate,"Article Table 6","Initial productivity is recorded separately and must not be treated as the poisoned endpoint."
T2-004,T2-004-CUZNAL-K,Prasnikar and Likozar (2022),10.1039/D1RE00486G,Cu/ZnO/Al2O3,Commercial CuZnAl,H2S,8.1,8.1,8.1,,,gas_fixed_bed,continuous_cofeed,240,20,40000,,catalyst_sensitivity,intrinsic_deactivation_coefficient,,,0.012,,g_cat mL_feed^-1,345,reported,high,separate_kinetic,no_known_duplicate,"Article Table 6","Initial productivity is recorded separately and must not be treated as the poisoned endpoint."
